Year,maize_yields_tonne/ha
1961,1.9423
1962,1.9796
1963,2.0311
1964,1.9937
1965,2.1237
1966,2.2078
1967,2.4236
1968,2.2894
1969,2.4206
1970,2.3509
1971,2.6534
1972,2.6867
1973,2.7217
1974,2.5565
1975,2.8132
1976,2.8371
1977,2.9668
1978,3.1556
1979,3.3847
1980,3.1534
1981,3.4933
1982,3.609
1983,2.9452
1984,3.5256
1985,3.7202
1986,3.6279
1987,3.4863
1988,3.1001
1989,3.6186
1990,3.6941
1991,3.6997
1992,3.9063
1993,3.6306
1994,4.112
1995,3.8101
1996,4.2062
1997,4.1512
1998,4.4355
1999,4.4255
2000,4.3236
2001,4.4776
2002,4.3906
2003,4.461
2004,4.9448
2005,4.8188
2006,4.7765
2007,4.9827
2008,5.0695
2009,5.1496
2010,5.1572
2011,5.1385
2012,4.8488
2013,5.4211
2014,5.579
2015,5.5158
2016,5.7883
2017,5.7425
2018,5.7583
2019,5.8744
2020,5.7998
2021,5.8728
2022,5.7183
